"","X_CENTROID","Y_CENTROID","SUPERFICIE","SIREN"
"533",584005,6958268,49033,200070068
"534",449572,6435694,57183,200070092
"535",652368,6739728,59449,200070100
"536",839672,6559472,15784,200070118
"537",770390,6823740,38800,200070126
"538",583522,6921016,27595,200070142
"539",609468,6792772,89153,200070159
"540",554726,6812791,34943,200070167
"541",598660,6751524,66221,200070183
"542",371500,6662082,28884,200070233
"543",475943,6477666,75705,200070282
"544",906358,6920863,21192,200070290
"545",835935,6581467,29956,200070308
"546",773197,6616451,86642,200070316
"547",968321,6830363,45448,200070324
"548",895667,6750920,80942,200070332
"549",996096,6465804,95700,200070340
"550",680480,6200700,56412,200070365
"551",511772,6743379,53878,200070373
"552",717851,6489189,100022,200070407
"553",885989,6455428,59579,200070431
"554",571368,6939433,54566,200070449
"555",960979,6467132,33444,200070464
"556",554124,6509769,39627,200070506
"557",450136,6512135,74678,200070514
"558",799821,6649345,125631,200070530
"559",799917,6575546,28944,200070548
"560",849278,6572950,21287,200070555
"561",912199,6851465,45867,200070563
"562",632239,6667838,20911,200070571
"563",941551,6860278,34782,200070589
"564",496795,6419439,57955,200070647
"565",353764,6760454,46638,200070662
"566",356164,6837282,32675,200070670
"567",371075,6819991,32880,200070688
"568",745096,6528081,62474,200070712
"569",383231,6480180,111241,200070720
"570",913060,6879432,46014,200070738
"571",993956,6892203,34171,200070746
"572",710909,6532049,40633,200070753
"573",754078,6492384,122988,200070761
"574",684746,6831224,36640,200070779
"575",483720,6227175,43203,200070787
"576",491019,6246582,33279,200070795
"577",473400,6241039,26245,200070803
"578",449338,6210059,100368,200070811
"579",499441,6215582,30688,200070829
"580",909533,6903951,39596,200070845
"581",923719,6550215,27369,200070852
"582",847329,6675892,48197,200070894
"583",879799,6686939,38522,200070902
"584",856697,6726251,31411,200070910
"585",682243,6970076,29410,200070928
"586",619907,7012167,78371,200070936
"587",602105,6997714,19004,200070944
"588",648533,7001345,54149,200070951
"589",659784,6961896,38778,200070969
"590",677784,6954210,38823,200070977
"591",698480,6965076,25930,200070985
"592",612886,6998319,40083,200070993
"593",805584,6703589,76305,200071017
"594",914031,6322607,48218,200071025
"595",927377,6342650,30725,200071033
"596",776751,6771165,58935,200071041
"597",717358,6267121,35475,200071058
"598",994937,6808503,98017,200071066
"599",594009,6880046,14170,200071074
"600",668134,6573917,37758,200071082
"601",895173,6621210,19723,200071116
"602",724286,6612516,133996,200071140
"603",982643,6778534,50248,200071157
"604",337464,6617233,11616,200071165
"605",807605,6672634,47447,200071173
"606",622394,6972445,89691,200071181
"607",722348,6545378,35440,200071199
"608",821209,6677964,49815,200071207
"609",671575,6522622,84341,200071215
"610",637229,6990175,31493,200071223
"611",595541,6263272,62187,200071298
"612",550177,6294661,37871,200071314
"613",740296,6556901,74244,200071363
"614",848823,6589711,25979,200071371
"615",713986,6568942,91796,200071389
"616",832574,6392747,28344,200071405
"617",827165,6412306,60442,200071413
"618",570059,6874915,66085,200071454
"619",750640,6585950,109450,200071470
"620",704712,6599510,74038,200071496
"621",520128,6805124,36466,200071504
"622",687785,6582838,73073,200071512
"623",428715,6850155,36713,200071520
"624",856282,6615512,39768,200071538
"625",342287,6663268,35076,200071546
"626",427795,6700941,61375,200071553
"627",871513,6614791,51292,200071579
"628",542591,6663991,181950,200071587
"629",910141,6646979,60143,200071595
"630",326697,6655934,44487,200071629
"631",819413,6583239,24299,200071645
"632",463679,6835624,23253,200071652
"633",418096,6671740,78559,200071678
"634",871747,6577953,122621,200071751
"635",725122,6935821,27893,200071769
"636",789671,6827466,60995,200071777
"637",721097,6948798,38571,200071785
"638",517489,6499059,57500,200071819
"639",479023,6508674,64479,200071827
"640",600291,6912773,34683,200071843
"641",656501,6781436,43390,200071850
"642",421639,6730782,58614,200071868
"643",466194,6688726,122122,200071876
"644",791321,6596646,94499,200071884
"645",718467,6967710,29571,200071892
"646",358253,6606526,50678,200071900
"647",376681,6647836,32651,200071918
"648",636288,6215443,80718,200071926
"649",405003,6606615,45144,200071934
"650",554491,6569136,117816,200071942
"651",981462,6590463,32174,200071967
"652",744663,6983296,33289,200071983
"653",712091,6912043,53829,200071991
"654",784266,6407262,68070,200072007
"655",832000,6463905,31920,200072015
"656",478202,6535108,59196,200072023
"657",732236,6888793,88910,200072031
"658",513297,6538854,132472,200072049
"659",885351,6604087,19024,200072056
"660",576861,6694042,73261,200072064
"661",547346,6742383,103219,200072072
"662",681518,6555581,68645,200072080
"663",700330,6545198,42876,200072098
"664",461338,6260625,53061,200072106
"665",691785,6874129,21490,200072130
"666",990029,6375237,102282,200072304
"667",584385,6890954,67717,200072312
"668",505027,6264023,51957,200072320
"669",671475,6812499,43803,200072346
"670",387889,6816892,48915,200072452
"671",668728,7047913,64930,200072460
"672",623114,7080724,19189,200072478
"673",721423,6859290,39601,200072544
"674",504812,6203275,65459,200072635
"675",517007,6239176,99359,200072643
"676",516121,6687185,48790,200072650
"677",506337,6666105,68580,200072668
"678",502479,6802342,60175,200072676
"679",510401,6772207,40369,200072684
"680",528487,6762692,40113,200072692
"681",482808,6802742,47250,200072700
"682",473079,6785328,41820,200072718
"683",368119,6740960,88440,200072726
"684",329913,6705993,31329,200072734
"685",876380,6708167,42461,200072825
"686",693286,6845692,33430,200072874
"687",350576,6643824,49184,200072882
"688",496065,6707003,76149,200072981
"689",879519,6762054,70067,200072999
"690",655703,6888377,12241,200073013
"691",843579,6445053,50279,200073096
"692",1193045,6183114,39126,200073104
"693",490832,6737657,54554,200073112
"694",1217641,6191671,38912,200073120
"695",1211412,6161866,90976,200073138
"696",527552,6220877,51191,200073146
