"","V1","V2","V3"
"1","X80._amg_HH","X80._amg_15.POP","0.951223792393247"
"2","X7589_women_amg_wPOP","X80._amg_15.POP","0.968169043143105"
"3","X7589_amg_POP","X80._amg_15.POP","0.964372212214895"
"4","X80._amg_15.POP","X80._amg_HH","0.951223792393247"
"5","X7589_women_amg_wPOP","X80._amg_HH","0.964439460699068"
"6","X7589_amg_POP","X80._amg_HH","0.96622090487349"
"7","X80._amg_15.POP","X7589_women_amg_wPOP","0.968169043143105"
"8","X80._amg_HH","X7589_women_amg_wPOP","0.964439460699068"
"9","X7589_amg_POP","X7589_women_amg_wPOP","0.990535957799201"
"10","X65._amg_POP","X7589_women_amg_wPOP","0.960593468650432"
"11","X7589_men_amg_mPOP","X7589_women_amg_wPOP","0.950407818172996"
"12","X65._women_amg_wPOP","X7589_women_amg_wPOP","0.975516650165176"
"13","X80._amg_15.POP","X7589_amg_POP","0.964372212214895"
"14","X80._amg_HH","X7589_amg_POP","0.96622090487349"
"15","X7589_women_amg_wPOP","X7589_amg_POP","0.990535957799201"
"16","X65._amg_POP","X7589_amg_POP","0.977677644071468"
"17","X7589_men_amg_mPOP","X7589_amg_POP","0.983918274420767"
"18","X65._women_amg_wPOP","X7589_amg_POP","0.981235677160262"
"19","X65._men_amg_mPOP","X7589_amg_POP","0.958956438374684"
"20","X7589_women_amg_wPOP","X65._amg_POP","0.960593468650432"
"21","X7589_amg_POP","X65._amg_POP","0.977677644071468"
"22","X7589_men_amg_mPOP","X65._amg_POP","0.972706806382858"
"23","X65._women_amg_wPOP","X65._amg_POP","0.994609238431503"
"24","X15._Retired_amg_POP","X65._amg_POP","0.955820922268142"
"25","X65._men_amg_mPOP","X65._amg_POP","0.992029678371535"
"26","Pop_Retired_HH","X65._amg_POP","0.969910323880861"
"27","X6074_women_amg_wPOP","X65._amg_POP","0.950615838646391"
"28","X6074_amg_POP","X65._amg_POP","0.955384865107387"
"29","X2554_amg_15.POP","X65._amg_POP","-0.953591682544652"
"30","X7589_women_amg_wPOP","X7589_men_amg_mPOP","0.950407818172996"
"31","X7589_amg_POP","X7589_men_amg_mPOP","0.983918274420767"
"32","X65._amg_POP","X7589_men_amg_mPOP","0.972706806382858"
"33","X65._women_amg_wPOP","X7589_men_amg_mPOP","0.961151100170229"
"34","X65._men_amg_mPOP","X7589_men_amg_mPOP","0.972269651995013"
"35","X7589_women_amg_wPOP","X65._women_amg_wPOP","0.975516650165176"
"36","X7589_amg_POP","X65._women_amg_wPOP","0.981235677160262"
"37","X65._amg_POP","X65._women_amg_wPOP","0.994609238431503"
"38","X7589_men_amg_mPOP","X65._women_amg_wPOP","0.961151100170229"
"39","X15._Retired_amg_POP","X65._women_amg_wPOP","0.951991516086127"
"40","X65._men_amg_mPOP","X65._women_amg_wPOP","0.973802730962908"
"41","Pop_Retired_HH","X65._women_amg_wPOP","0.965952491281606"
"42","X65._amg_POP","X15._Retired_amg_POP","0.955820922268142"
"43","X65._women_amg_wPOP","X15._Retired_amg_POP","0.951991516086127"
"44","X15._women_Retired_amg_wPOP","X15._Retired_amg_POP","0.985812911357365"
"45","Retired_HH","X15._Retired_amg_POP","0.987028807268885"
"46","Pop_Retired_HH","X15._Retired_amg_POP","0.982964975311751"
"47","X15._men_Retired_amg_mPOP","X15._Retired_amg_POP","0.98327274437202"
"48","X15._Retired_amg_POP","X15._women_Retired_amg_wPOP","0.985812911357365"
"49","Retired_HH","X15._women_Retired_amg_wPOP","0.97202765345102"
"50","Pop_Retired_HH","X15._women_Retired_amg_wPOP","0.964735753473026"
"51","X15._Retired_amg_POP","Retired_HH","0.987028807268885"
"52","X15._women_Retired_amg_wPOP","Retired_HH","0.97202765345102"
"53","Pop_Retired_HH","Retired_HH","0.984085282635488"
"54","X15._men_Retired_amg_mPOP","Retired_HH","0.974369012389703"
"55","X7589_amg_POP","X65._men_amg_mPOP","0.958956438374684"
"56","X65._amg_POP","X65._men_amg_mPOP","0.992029678371535"
"57","X7589_men_amg_mPOP","X65._men_amg_mPOP","0.972269651995013"
"58","X65._women_amg_wPOP","X65._men_amg_mPOP","0.973802730962908"
"59","Pop_Retired_HH","X65._men_amg_mPOP","0.962257119535614"
"60","X15._men_Retired_amg_mPOP","X65._men_amg_mPOP","0.953202967973879"
"61","X6074_men_amg_mPOP","X65._men_amg_mPOP","0.962220312578209"
"62","X6074_women_amg_wPOP","X65._men_amg_mPOP","0.954032776061735"
"63","X5579_amg_HH","X65._men_amg_mPOP","0.952530276976697"
"64","X6074_amg_POP","X65._men_amg_mPOP","0.965331833266226"
"65","X65._amg_POP","Pop_Retired_HH","0.969910323880861"
"66","X65._women_amg_wPOP","Pop_Retired_HH","0.965952491281606"
"67","X15._Retired_amg_POP","Pop_Retired_HH","0.982964975311751"
"68","X15._women_Retired_amg_wPOP","Pop_Retired_HH","0.964735753473026"
"69","Retired_HH","Pop_Retired_HH","0.984085282635488"
"70","X65._men_amg_mPOP","Pop_Retired_HH","0.962257119535614"
"71","X15._men_Retired_amg_mPOP","Pop_Retired_HH","0.973472635100012"
"72","X6074_women_amg_wPOP","Pop_Retired_HH","0.95463376650393"
"73","X5579_amg_HH","Pop_Retired_HH","0.950931549555777"
"74","X6074_amg_POP","Pop_Retired_HH","0.955575769159135"
"75","Pensions_Annuities","Pop_Retired_HH","0.955147666000512"
"76","X15._Retired_amg_POP","X15._men_Retired_amg_mPOP","0.98327274437202"
"77","Retired_HH","X15._men_Retired_amg_mPOP","0.974369012389703"
"78","X65._men_amg_mPOP","X15._men_Retired_amg_mPOP","0.953202967973879"
"79","Pop_Retired_HH","X15._men_Retired_amg_mPOP","0.973472635100012"
"80","X5579_amg_15.POP","X15._men_Retired_amg_mPOP","0.954679718514345"
"81","X6074_men_amg_mPOP","X15._men_Retired_amg_mPOP","0.952706319374435"
"82","X5579_amg_HH","X15._men_Retired_amg_mPOP","0.955324282805048"
"83","X6074_amg_POP","X15._men_Retired_amg_mPOP","0.952546360613022"
"84","X15._men_Retired_amg_mPOP","X5579_amg_15.POP","0.954679718514345"
"85","X6074_men_amg_mPOP","X5579_amg_15.POP","0.983068857652432"
"86","X6074_women_amg_wPOP","X5579_amg_15.POP","0.975622291473741"
"87","X5579_amg_HH","X5579_amg_15.POP","0.996048913160125"
"88","X6074_amg_POP","X5579_amg_15.POP","0.986555723012802"
"89","X65._men_amg_mPOP","X6074_men_amg_mPOP","0.962220312578209"
"90","X15._men_Retired_amg_mPOP","X6074_men_amg_mPOP","0.952706319374435"
"91","X5579_amg_15.POP","X6074_men_amg_mPOP","0.983068857652432"
"92","X6074_women_amg_wPOP","X6074_men_amg_mPOP","0.971119030196942"
"93","X5579_amg_HH","X6074_men_amg_mPOP","0.981456329062742"
"94","X6074_amg_POP","X6074_men_amg_mPOP","0.993192169132284"
"95","X65._amg_POP","X6074_women_amg_wPOP","0.950615838646391"
"96","X65._men_amg_mPOP","X6074_women_amg_wPOP","0.954032776061735"
"97","Pop_Retired_HH","X6074_women_amg_wPOP","0.95463376650393"
"98","X5579_amg_15.POP","X6074_women_amg_wPOP","0.975622291473741"
"99","X6074_men_amg_mPOP","X6074_women_amg_wPOP","0.971119030196942"
"100","X5579_amg_HH","X6074_women_amg_wPOP","0.977578161067941"
"101","X6074_amg_POP","X6074_women_amg_wPOP","0.992278947725165"
"102","X65._men_amg_mPOP","X5579_amg_HH","0.952530276976697"
"103","Pop_Retired_HH","X5579_amg_HH","0.950931549555777"
"104","X15._men_Retired_amg_mPOP","X5579_amg_HH","0.955324282805048"
"105","X5579_amg_15.POP","X5579_amg_HH","0.996048913160125"
"106","X6074_men_amg_mPOP","X5579_amg_HH","0.981456329062742"
"107","X6074_women_amg_wPOP","X5579_amg_HH","0.977578161067941"
"108","X6074_amg_POP","X5579_amg_HH","0.986488226932337"
"109","X65._amg_POP","X6074_amg_POP","0.955384865107387"
