codgeo;superficie;SEXE-AGE3_B_POP_ENS_ENS;densite;taux_cumu_1_inj;latitude;longitude
200043404;179,930;25055;1,39248596676485e+02;0,610;6996057;779824
200043438;492,060;9499;1,93045563549161e+01;0,703;6865611;808019
200043495;308,580;42622;1,38123015101432e+02;0,646;6937737;745835
200043602;294,860;55610;1,88597978701757e+02;0,653;6159148;698723
200043628;376,930;26673;7,07638022975088e+01;0,706;6598468;498309
200043693;243,670;15397;6,31879180859359e+01;0,628;6932113;890415
200043776;933,900;13844;1,48238569439983e+01;0,579;6195815;627620
200043974;826,010;38723;4,68795777290832e+01;0,628;6384335;436094
200043982;607,290;15722;2,58887846004380e+01;0,671;6370994;449455
200043990;503,880;43861;8,70465190124633e+01;0,623;6768867;333374
200044014;614,230;11915;1,93982710059750e+01;0,650;6533050;632935
200044030;501,980;29653;5,90720745846448e+01;0,706;7033051;628847
200044048;333,160;42277;1,26896986432945e+02;0,686;7018344;700460
200044253;698,050;12523;1,79399756464437e+01;0,633;6813884;857967
200044394;326,020;23860;7,31856941291945e+01;0,617;6390897;457350
200044469;336,990;10522;3,12234784414968e+01;0,609;6217270;607621
200044618;236,380;148983;6,30269058295964e+02;0,634;7027832;708299
200046977;537,240;1398892;2,60384930384930e+03;0,605;6521302;842463
200048551;646,220;28752;4,44925876636440e+01;0,664;6760056;400356
200049187;295,210;27727;9,39229700890891e+01;0,674;6903301;871346
200049211;785,910;20466;2,60411497499714e+01;0,569;6165539;649891
200049484;858,730;11721;1,36492261828514e+01;0,648;6613335;649751
200054781;814,890;7075028;8,68218777994576e+03;0,621;6859932;655704
200054807;3158,320;1889666;5,98313660427062e+02;0,534;6268483;891573
200055481;517,840;19756;3,81507801637571e+01;0,663;6741867;581563
200055655;342,210;354451;1,03577043335963e+03;0,511;6881035;666651
200055887;626,750;36727;5,85991224571201e+01;0,675;6809453;435894
200056232;186,930;314169;1,68067725886696e+03;0,635;6844216;643328
200056380;74,790;182585;2,44130231314347e+03;0,610;6878859;650264
200057859;133,420;201873;1,51306400839454e+03;0,584;6834243;646757
200057958;96,310;227943;2,36676357595265e+03;0,591;6861017;672614
200058360;455,910;21199;4,64982123664758e+01;0,681;6809697;569017
200058477;66,850;177020;2,64801795063575e+03;0,581;6844178;661826
200058485;86,910;278166;3,20062133241284e+03;0,600;6878552;642448
200058519;114,900;335109;2,91652741514360e+03;0,653;6867205;635495
200058782;120,070;228312;1,90149079703506e+03;0,600;6853766;625743
200059228;215,710;352123;1,63239070974920e+03;0,521;6834854;663442
200059392;658,050;54727;8,31654129625408e+01;0,643;6478758;874961
200059400;340,020;25692;7,55602611611082e+01;0,683;6529872;535091
200059889;508,480;417556;8,21184707363121e+02;0,571;6876176;613346
200060010;1318,210;119881;9,09422626136958e+01;0,641;6689534;397797
200065563;280,570;31223;1,11284171508002e+02;0,716;6908777;474221
200065589;167,120;18334;1,09705600765917e+02;0,685;6896954;468485
200065597;349,610;268470;7,67912817139098e+02;0,707;6905066;454661
200065647;449,860;140002;3,11212377184013e+02;0,590;6713607;985180
200065787;316,630;32961;1,04099422038341e+02;0,652;6917295;525061
200065886;1314,300;109787;8,35326789926197e+01;0,661;6503507;779691
200065894;555,610;63673;1,14600169183420e+02;0,669;6516988;798098
200065928;901,130;99520;1,10439115332971e+02;0,726;6865668;231117
200066009;439,110;274066;6,24139737195691e+02;0,565;6749825;1025622
200066017;408,820;20493;5,01271953426936e+01;0,641;6903799;516515
200066025;328,910;33336;1,01352953695540e+02;0,644;6775341;1036549
200066033;230,280;22297;9,68256036129929e+01;0,625;6733451;1008742
200066041;433,300;47562;1,09766905146550e+02;0,616;6726159;1023225
200066058;270,000;80298;2,97400000000000e+02;0,594;6732074;1034372
200066108;739,930;16555;2,23737380563026e+01;0,672;6834798;869767
200066116;494,380;7106;1,43735588009224e+01;0,699;6902659;854332
200066124;1186,470;74203;6,25409829157079e+01;0,610;6313417;607757
200066132;442,670;9663;2,18289018907990e+01;0,637;6928740;858066
200066140;663,900;6496;9,78460611537882e+00;0,702;6871274;865291
200066157;711,480;22271;3,13023556530050e+01;0,652;6842803;890520
200066165;350,690;9121;2,60087256551370e+01;0,680;6886604;871314
200066173;496,710;8242;1,65931831450947e+01;0,625;6918966;883140
200066223;384,520;10850;2,82169978154582e+01;0,559;6229527;566517
200066231;418,590;39515;9,44002484531403e+01;0,603;6229867;586217
200066280;491,180;29209;5,94669978419317e+01;0,627;6787381;643059
200066322;450,210;41411;9,19815197352347e+01;0,578;6327657;546278
200066330;693,230;26017;3,75301126610216e+01;0,676;6679483;663471
200066348;783,930;14630;1,86623805696937e+01;0,597;6259680;683716
200066355;374,770;125325;3,34405101795768e+02;0,619;6263227;754769
200066363;1090,460;7128;6,53669093776938e+00;0,668;6183625;599600
200066371;1261,540;45207;3,58347733722276e+01;0,636;6420815;598457
200066389;794,550;75972;9,56163866339437e+01;0,700;6897149;401844
200066405;341,260;40774;1,19480747816914e+02;0,682;6918343;538374
200066413;903,150;55048;6,09511155400543e+01;0,653;6890113;528883
200066462;709,080;38516;5,43182715631523e+01;0,664;6858917;541399
200066512;618,450;27811;4,49688737973967e+01;0,690;6548171;571540
200066520;421,800;11387;2,69962067330488e+01;0,685;6516898;536159
200066553;795,110;8007;1,00703047377092e+01;0,647;6286575;676626
200066561;464,450;12588;2,71030250834320e+01;0,660;6285844;651631
200066587;398,760;35088;8,79927776105928e+01;0,592;6510788;813172
200066603;255,650;7536;2,94778016819871e+01;0,740;6482432;574861
200066637;904,350;11555;1,27771327472770e+01;0,689;6454985;700541
200066645;516,500;5007;9,69409486931268e+00;0,723;6496624;608998
200066652;439,240;42008;9,56379200437119e+01;0,594;6310626;560664
200066660;1381,170;23447;1,69761868560713e+01;0,700;6430368;702196
200066678;1051,640;21207;2,01656460385683e+01;0,711;6413831;644353
200066710;356,710;24381;6,83496397633932e+01;0,672;6882390;452246
200066728;130,650;25392;1,94351320321470e+02;0,721;6894366;447145
200066744;1826,900;33330;1,82440199244622e+01;0,703;6496916;643874
200066751;653,930;11396;1,74269417215910e+01;0,722;6445488;620385
200066769;381,780;12997;3,40431662213840e+01;0,671;6439205;600582
200066777;733,070;42001;5,72946649023968e+01;0,642;6780444;294878
200066785;641,370;38981;6,07777102140730e+01;0,644;6761549;304304
200066793;537,600;203784;3,79062500000000e+02;0,617;6533044;941446
200066801;591,710;26680;4,50896554055196e+01;0,697;6915292;415869
200066819;410,840;30182;7,34641222860481e+01;0,616;6241908;556972
200066827;195,560;27283;1,39512170177951e+02;0,670;6923969;503979
200066835;763,440;21360;2,79786230745049e+01;0,652;6841489;751536
200066850;583,220;21104;3,61853160042523e+01;0,697;6879622;756718
200066868;282,660;22616;8,00113210217222e+01;0,709;6822901;155132
200066876;811,150;79518;9,80311902853973e+01;0,652;6873791;793982
200066884;337,550;22227;6,58480225151829e+01;0,574;6326995;583255
200066892;447,610;7674;1,71443890887156e+01;0,694;6801352;820011
200066918;925,240;129931;1,40429510181142e+02;0,582;6337937;786474
200066926;605,960;38936;6,42550663410126e+01;0,702;6293068;505092
200066975;197,720;24345;1,23128666801538e+02;0,674;6901385;673463
200067023;507,700;47841;9,42308449871972e+01;0,718;6888735;377741
200067031;488,960;21929;4,48482493455497e+01;0,711;6913415;374893
200067049;923,250;7617;8,25020308692120e+00;0,640;6136029;1180643
200067064;185,830;18735;1,00817951891514e+02;0,629;6387078;640679
200067072;248,650;31610;1,27126483008245e+02;0,744;6862919;178780
200067080;591,900;14934;2,52306132792701e+01;0,687;6740869;757239
200067106;2998,880;312278;1,04131542442512e+02;0,690;6250994;361651
